0001—二三四五六七八九 答案：缺衣少食 
0002—门里站着一个人。 答案：闪 
0003—一点一横长，一撇飘南洋，南洋有个人，只有一寸长。 答案：府 
0004—一个人无法做，一群人做没意思，两个人做刚刚好。请问是啥密事？ 答案：说悄悄话 
0005—会飞不是鸟，像鼠不是鼠。白天躲暗处，夜晚捉害虫。 答案：蝙蝠 
0006—小时四只脚，中午两只脚，傍晚三只脚。 答案：婴儿,青少年,老人. 
0007—上边毛，下边毛，中间一个黑葡萄。 答案：眼睛 
0008—“蚕蚁”是蚂蚁还是蚕？ 答案：蚕 
0009—三面墙一面空小孩子在当中 答案：匹 
0010—老詹养了一只狗，并且从來不帮狗洗澡，为什么狗不会生跳蚤呢？ 答案：因为狗只会生小狗 
0011—两只蚂蚁抬根杠,一只蚂蚁杠上望 答案：六 
0012—为什么两个孩子恰恰好？ 答案：因为不孝有三 
0013—为什么婴儿一出生就大哭？ 答案：因为他看到护士阿姨太漂亮.自己又太...小 
0014—像糖不是糖，不能用口尝，帮你改错字，纸上来回忙。 答案：橡皮 
0015—有对一模一样的双胞胎兄弟，哥哥的屁股有黑痣，而弟弟没有。但即使这对双胞胎穿着相同的服饰，仍然有人可立刻知道谁是哥哥，谁是弟弟。究竟是谁呢？ 答案：他们自己 
0016—有一位刻字先生，他挂出来的价格表是这样写的：刻“隶书”4角；刻“仿宋体”6角刻“你的名章”8角；刻“你爱人的名章”12元。那么他刻字的单价是多少？ 答案：每个字两角 
0017—一个人有三根头发，为什么他还要剪掉一根？ 答案：他想做三毛的哥哥 
0018—华先生有个本领，那就是能让见到他的人，都会自动手心朝上。这是怎么回事？ 答案：他是个中医 
0019—老人梅友并到医院去做检查，结果医生告诉他说要看开一点，请问他得了什么病？ 答案：豆鸡眼 
0020—杏子从52楼跳下，为什么没事？ 答案：她是只鸟 
0021—两位帅哥因何为了一位长相如恐龙般的女子大打出手？ 答案：打的要娶她. 
0022—年年有余，为什么钱还是存不起來？ 答案：因为年年都被炒鱿鱼 
0023—五个兄弟，住在一起，名字不同，高矮不其。 答案：手指 
0024—医生给了你三颗药丸要你每半个小时吃一颗请问吃完需要多长时间 答案：一个小时 
0025—干涉 答案：步 
0026—无聊的时候，开车游车河时，叫做什么？ 答案：白花油 
0027—劳资争议时，雇主应该穿什么？ 答案：防弹背心 
0028—灰姑娘的老爸老妈可能是谁？ 答案：白雪公主与包公 
0029—在路上，它翻了一个跟斗，接着又翻了一次（猜4字成语） 答案：三翻两次 
0030—用猪肝和熊胆作成的神奇肥皂（猜4字成语） 答案：肝胆相照(香皂) 
0031—为什么大家喜欢看漫画？ 答案：无聊 
0032—一个男人加一个女人会成了什么？ 答案：两个人 
0033—两个女人与一千只鸭子所说的话有何相似性呢？ 答案：无稽(鸡)之谈 
0034—为什么DrJ做完10下伏地挺身后，地上多了个凹洞？ 答案：因为他单手做伏地挺身 
0035—为什么大家都喜欢坐着看电影？ 答案：因为站着看脚会酸 
0036—什么书买不到？ 答案：遗书 
0037—什么鼠最爱干净？ 答案：环保署 
0038—阿匹婆的英文名字是？ 答案：A-people 
0039—右手永远抓不到什么？ 答案：右手 
0040—参加联考时，除了准考证之外，最重要的是什么？ 答案：记得起床 
0041—小马哥的老爸在市立图书馆（四字成语） 答案：识途老马(市图老马) 
0042—哞哞叫的牛一下水游泳后就不叫了（四字成语） 答案：有勇无谋(哞) 
0043—小麦的两包面都被偷了（四字成语） 答案：面面俱到(盗) 
0044—这封信是两颗蛋做的（四字成语） 答案：信誓旦旦(蛋蛋) 
0045—这冰看起来就好像是张铝箔（四字成语） 答案：如履(铝)薄冰. 
0046—一头被10公尺绳子栓住的老虎，要如何吃到20公尺外的草？ 答案：老虎...不吃草 
0047—这个东西，左看像电灯，右看也像电灯，和电灯没什么两样。但它就是不会亮，這是啥东西呢？ 答案：坏掉的电灯 
0048—天知地知我知（打福建一市县名） 答案：三明 
0049—长安一片月（打一字） 答案：胀 
0050—人在不饥渴时也需要的是什么水？ 答案：薪水 
0051—海水为什么是咸的？ 答案：鱼流的泪太多了 
0052—为什么阿福总要等老师动手才去听老师的话？ 答案：他是个聋子 
0053—钻进钱眼里的人最终会怎样？ 答案：最终会死 
0054—老王已经年过半百为什么总爱围着女人转？ 答案：老王是推销化妆品的 
0055—用什么方法可以使人不喝水？ 答案：把水改名字 
0056—一斤白菜5角钱，一斤萝卜6角钱，那一斤排骨多少钱？ 答案：一两等于十钱一斤100钱 
0057—有一名女囚犯，被抓到警察局，并被单独关到了一间防守非常好的小囚室里，在没有可能外人进入的情况下，第二天早晨，囚室里居然多出了一名男士！这是为什么？ 答案：这是一名怀了孕的女犯生下一名男婴 
0058—阿珍什么家务都不会做，脾气又坏，他爸妈为什么还拼命催她结婚？ 答案：其目的是为了嫁祸于人. 
0059—一间屋子里到处都在漏雨，可是谁也没被淋湿，为什么？ 答案：空房子 
0060—什么人可以饭来张口，衣来伸手？ 答案：婴儿 
0061—脱了红袍子,是个白胖子去了白胖子,是个黑圆子。打一植物？ 答案：荔枝 
0062—一辆出租车在公路上正常行驶，并且没有违反任何交通规则却被一个警察给拦住了，请问为什么 答案：警察打车 
0063—有一个网站，凡是上网的人没有不先去那里的(wwwhang123com)为什么 答案：任何人都能够各需所爱. 
0064—鸭蛋一打有多少个？ 答案：全没有了碎了 
0065—后脑勺受伤的人怎样睡觉？ 答案：闭着眼睛睡觉 
0066—人死后为什么变得冰凉？ 答案：心静自然凉 
0067—现代人为什么越来越喜欢挖耳朵？ 答案：爱讲脏话的人越来越多了 
0068—友情和爱情怎样区分？ 答案：友情出现在白天爱情出现在晚上 
0069—吃不到葡萄，也不说葡萄酸，为什么？ 答案：理解 
0070—十万个为什么是什么？ 答案：想问什么就问什么 
0071—什么时候我们会甘心熄灭自己的生命之火？ 答案：切生日蛋糕之前 
0072—三名犯人聆听法官宣判，法官说左右两个无罪，究竟为什么？ 答案：关中 
0073—中国人讲什么话？ 答案：中国话 
0074—地球有两处地方，昨天可以是今天，今天可以是明天，那地方是哪？ 答案：南极和北极 
0075—小凯开着车子，却始终到不目的地，为什么？ 答案：车子倒着走 
0076—芳芳吃牛肉面，却不见任何牛肉？ 答案：她吃的是牛肉泡面 
0077—大明的英语呱呱叫，可是老外，都听不懂他讲的？ 答案：头撞到水中的乌龟 
0078—陆先生刚理发完，便要求理发师降他的头发“中分”理发师说做不到，为什么？ 答案：他的头发是奇数 
0079—圣　诞　夜，　圣　诞　老　公　公　放　进　袜　子　的　第　一　件　东　西　是　什　么　？ 答案：脚 
0080—什么地方盖了章才过得去？ 答案：印度 
0081—苹果树上有二十个熟透的苹果，被风吹落了一　半，后又被果农摘了一半，那么树上还有几个苹果？ 答案：5 
0082—从一写到一万，你会用多少时间？ 答案：最多5秒,10000 
0083—为　什　么　拿　破　仑　的　字　典　里　没　有　一个“难”字　？ 答案：他的字典是法文 
0084—和尚打着一把伞，是一个什么成语？ 答案：无发无天 
0085—什么花可以看而不可以把握？ 答案：水花和烟花 
0086—哪种火车车厢最少？ 答案：救火车 
0087—什么人是人们说时很崇拜，但却不想见到 答案：上帝 
0088—胖妞生病了，最怕别人来探病时说什么？ 答案：多多保重 
0089—中国人最早的姓氏是什么 答案：姓善"人之初,性本善." 
0090—一只健壮的鸭子为什么在小河中溺死了？ 答案：想不开自杀了 
0091—从前，遍地是金的山是什么山？ 答案：旧金山 
0092—铁放到外面要生锈，那金子呢 答案：没了 
0093—农夫养了10头牛，为什么只有19只角？ 答案：其中一只是犀牛 
0094—小明的爸爸只当了一次官，而且只当了几天。可是因为当了那次官，闹得他每天都要掏腰包，他当的是什么官 答案：新郎官 
0095—什么时候最好还是要高高举起你的双手好些 答案：当人用手枪指着你的头的时候 
